cnt_bike,atemp,hum,windspeed,temp,holiday,workingday
4189,22.69,40.71,21.79,18.83,0,1
1683,16.1,72.96,14.71,13.8,0,1
4036,22.51,88.79,15.46,18.86,0,0
4191,27.59,81.08,12.88,23.85,0,0
4073,28.73,77.67,12.42,24.87,0,1
4400,29.7,72.92,21.88,25.9,0,1
3872,28.76,83.54,20.92,25.42,0,1
4058,28.95,70.08,21.5,25.32,0,1
4595,24.87,45.71,16.08,20.91,0,1
5312,23.2,50.33,15.75,19.37,0,0
3351,22.41,76.21,7.13,18.52,0,0
4401,26.64,73,12.29,22.52,0,1
4451,29.1,69.71,22.96,25.28,0,1
2633,20.23,73.71,22.04,16.98,0,1
4433,22.1,44.42,19.79,18.83,0,1
4608,23.71,59,15.29,19.65,0,1
4714,25.63,54.13,10.75,21.32,0,0
4333,25.95,63.17,5,21.66,0,0
4362,26.26,58.88,11.79,21.83,0,1
4803,26.14,48.92,7.75,21.83,0,1
4182,26.42,63.29,8.08,22.24,0,1
4864,26.17,74.75,12.71,21.94,0,1
4105,24.72,86.33,12.04,21.01,0,1
3409,25.03,92.25,9.04,21.35,0,0
4553,26.8,86.71,10.25,23.06,0,0
3958,27.53,78.79,8.5,23.68,0,1
4123,26.93,83.79,18.58,23.03,0,1
3855,26.36,87,13.5,22.55,0,1
4575,25.54,82.96,7.25,21.76,0,1
4917,26.45,71.96,8.38,22,0,1
5805,28.6,62.67,8.08,24.7,0,0
4660,28.73,74.96,9.92,24.77,0,0
4274,29.51,81,15.67,25.9,0,1
4492,30.24,74.08,13.88,27.06,0,1
4978,30.78,69.63,10.33,27.09,0,1
4677,32.73,67.75,13.38,29.04,0,1
4679,31.85,65.38,16.13,27.95,0,1
4758,30.62,72.96,15.42,26.89,0,0
4788,30.78,81.88,14.33,27.37,0,0
4098,33.55,68.5,8.79,30.07,1,0
3982,36.27,63.67,7.46,31.78,0,1
3974,36.05,67.71,13.88,31.33,0,1
4968,32.2,30.5,19.58,29.32,0,1
5312,29.36,35.42,16.96,25.42,0,1
5342,29.73,45.63,8.25,26.04,0,0
4906,30.84,65.25,9.29,26.58,0,0
4548,31.09,60,8.17,27.81,0,1
4833,32.8,59.79,12.58,29.01,0,1
4401,36.36,62.21,9.17,31.81,0,1
3915,37.88,56.83,10.04,33.14,0,1
4586,35.16,60.5,9.42,30.96,0,1
4966,33.9,65.46,10.37,29.73,0,0
4460,32.17,74.79,10.96,28.39,0,0
5020,30.08,49.46,20.46,26.04,0,1
4891,29.58,50.71,18.04,24.77,0,1
5180,29.39,47.17,11.25,25.69,0,1
3767,29.77,68.83,13.83,25.76,0,1
4844,30.02,73.58,9.58,26.62,0,1
5119,32.2,67.04,8,28.56,0,0
4744,32.29,66.67,6.83,28.67,0,0
4010,29.77,74.63,10.42,26.04,0,1
4835,31.88,77.04,11.46,27.91,0,1
4507,34.69,70.75,11.54,30.07,0,1
4790,34.69,70.33,16,29.86,0,1
4991,32.83,57.33,14.88,29.69,0,1
5202,32.17,48.33,14.04,28.5,0,0
5305,31.88,51.33,6.33,27.88,0,0
4708,31.85,65.83,7.21,27.98,0,1
4648,34.63,63.42,9.67,30.51,0,1
5225,32.73,49.79,17.54,29.86,0,1
5515,31.85,43.42,12.42,28.56,0,1
5362,32.61,39.63,6.87,29.62,0,1
5119,33.37,44.46,7.71,30.27,0,0
4649,33.43,68.25,15.33,29.38,0,0
6043,33.27,63.79,5.46,29.79,1,0
4665,34.82,59.04,8.46,30.61,0,1
4629,34.28,74.33,10.04,29.52,0,1
4592,34.34,65.13,10.67,30.75,0,1
4040,33.52,75.79,15.08,29.08,0,1
5336,33.21,60.92,11.25,30.07,0,0
4881,34.5,57.83,12.29,30.65,0,0
4086,36.49,63.58,18.92,31.26,0,1
4258,36.96,55.92,13.42,32.56,0,1
4342,34.47,63.17,9.79,30.61,0,1
5084,31.76,47.63,16.12,27.91,0,1
5538,31.22,59.13,12.25,27.2,0,1
5923,31.91,58.5,13.96,28.15,0,0
5302,33.49,60.42,16.42,29.49,0,0
4458,35.2,65.13,14.46,30.61,0,1
4541,37.37,65.04,8.75,31.84,0,1
4332,37.34,70.71,7.63,31.5,0,1
3784,41.32,69.13,14.88,33.42,0,1
3387,42.04,58.04,8.92,34.78,0,1
3285,40.21,50,8.79,34.82,0,0
3606,39.74,55.08,11.33,34.03,0,0
3840,36.05,75.71,6.08,30.48,0,1
4590,34.85,54.08,13.42,31.64,0,1
4656,34.53,40.29,12.29,31.78,0,1
4390,37,58.33,11.96,31.95,0,1
3846,39.3,54.25,11.67,34.37,0,1
4475,36.43,46.58,11.29,32.97,0,0
4302,36.49,48.08,11.04,33.04,0,0
4266,35.16,55.08,10.5,31.64,0,1
4845,35.35,49.13,13.79,32.12,0,1
3574,34,65.75,9.08,30,0,1
4576,33.24,75.75,13.21,29.11,0,1
4866,32.83,63.08,12.37,29.14,0,1
4294,33.81,75.5,15.29,29.38,0,0
3785,35.76,75.29,13.5,30.44,0,0
4326,35.16,59.21,12.88,31.37,0,1
4602,36.21,57.04,10.13,31.78,0,1
4780,34.25,42.42,13.42,31.43,0,1
4792,32.58,42.38,11.04,29.42,0,1
4905,32.7,41.5,8.42,29.04,0,1
4150,32.29,72.96,14.17,28.12,0,0
3820,31.22,81.75,14.92,27.74,0,0
4338,30.81,71.21,14,27.3,0,1
4725,32.29,57.83,15.83,28.73,0,1
4694,33.33,57.54,9.63,29.66,0,1
3805,33.11,65.46,15.62,29.18,0,1
4153,31.66,72.29,9.33,28.09,0,1
5191,32.45,67.42,7,28.6,0,0
3873,33.78,77,16.67,29.14,0,0
4758,31.91,47,18.54,28.36,0,1
5895,30.3,45.54,9.83,26.27,0,1
5130,31.53,60.5,16.96,27.61,0,1
3542,32.29,77.17,14.13,28.05,0,1
4661,32.99,76.13,5.63,28.7,0,1
1115,31.78,85,25.17,27.88,0,0
4334,32.4,56.18,20.41,28.99,0,0
4634,30.4,55.46,10.71,26.1,0,1
5204,29.74,54.83,8.38,26.21,0,1
5058,30.56,59.79,5.58,26.92,0,1
5115,30.75,63.92,9.5,26.86,0,1
4727,30.24,72.71,9.38,26.38,0,1
4484,31.66,71.67,12.42,27.44,0,0
4940,33.27,74.21,13.83,29.08,0,0
3351,31.28,79.04,14.25,27.61,1,0
2710,25.76,88.7,23.04,22.14,0,1
1996,27.21,91.71,6.5,24.57,0,1
1842,27.77,93.96,12.91,25.99,0,1
3544,28.95,89.79,8.33,26.65,0,1
5345,30.4,75.38,10.29,27.06,0,0
5046,30.46,71.38,7.71,26.79,0,0
4713,30.11,69.22,5.96,26.42,0,1
4763,30.18,71.25,9.5,26.68,0,1
4785,31.35,69.71,11.21,27.61,0,1
3659,27.68,70.92,18.17,23.68,0,1
4760,23.07,59.04,11,19.24,0,1
4511,23.93,71.83,12.71,20.16,0,0
4274,24.53,69.5,11.96,20.81,0,0
4539,26.48,69,10.17,22.52,0,1
3641,26.61,88.13,9.04,23.03,0,1
4352,27.53,90,6.46,24.4,0,1
4795,27.75,90.21,8.58,25.76,0,1
2395,26.11,97.25,5.25,24.98,0,1
5423,28.22,86.25,5.25,24.87,0,0
5010,28.63,84.5,3.38,26,0,0
4630,29.45,84.83,7.42,26.62,0,1
4120,28.73,88.54,7.92,26.1,0,1
3907,28.76,84.88,9.96,26.04,0,1
4839,28.73,69.92,11.58,25.28,0,1
5202,27.24,64.75,13.83,23.13,0,1
2429,20.64,75.38,19.58,16.81,0,0
2918,17.27,79.17,14.87,14.62,0,0
3570,19.6,76.08,5.58,15.75,0,1
4456,23.64,71,13.79,19.85,0,1
4826,26.36,64.79,11.88,22.07,0,1
4765,24.02,62.08,9.04,20.26,0,1
4985,25.22,68.42,1.5,20.94,0,1
5409,25.66,70.13,3.04,21.39,0,0
5511,26.2,72.75,4.25,22.17,0,0
5117,27.15,73.38,2.83,23.4,1,0
4563,27.3,80.88,9.58,23.23,0,1
2416,25.89,90.63,16.63,22.28,0,1
2913,27.59,89.67,9.5,24.16,0,1
3644,26.48,71.63,15,22.58,0,1
5217,24.94,48.33,17.29,20.77,0,0
5041,25.16,48.67,18.88,20.98,0,0
4570,25.54,57.96,11.75,21.9,0,1
4748,26.14,70.17,7.38,21.83,0,1
2424,25.69,89.52,16.3,22.21,0,1
4195,23.33,63.63,28.29,19.51,0,1
4304,21.18,57.42,14.83,17.53,0,1
4308,21.27,62.92,6.21,17.32,0,0
4381,21.12,74.13,6.67,17.29,0,0
4187,22.85,77.21,7.96,19,0,1
4687,23.17,62.29,11.17,19.34,0,1
3894,23.64,72.04,9.96,19.85,0,1
2659,22.85,81.29,13.25,19.27,0,1
3747,15.94,58.58,15.38,13.56,0,1
627,11.4,88.25,23.54,10.42,0,0
3331,16.07,62.38,11.83,13.09,0,0
3669,17.8,70.33,7.13,13.94,0,1
4068,19.85,68.38,9.08,16.43,0,1
4186,19.51,71.88,5.5,15.48,0,1
3974,20.3,70.21,9.17,16.74,0,1
4046,20.17,62.25,18.21,16.54,0,1
3926,16.19,51.92,12.67,13.39,0,0
3649,18.12,73.46,6.17,14.28,0,0
4035,20.04,75.88,3.83,16.2,0,1
4205,20.61,72.17,4.63,16.74,0,1
4109,20.45,75.83,4.17,16.4,0,1
2933,18.69,81.33,12.67,15.58,0,1
3368,15.34,44.63,21.08,13.29,1,0
4067,17.9,55.29,14.21,14.62,0,0
3717,21.53,45.83,18.88,18.07,0,0
4486,26.23,58.71,20.54,21.73,0,1
4195,25.38,68.88,13.38,21.73,0,1
1817,22.6,93,9.17,18.72,0,1
3053,16.16,57.58,20.46,14.01,0,1
3392,13.64,41,11.29,11.24,0,1
3663,16.22,50.21,15.04,13.5,0,0
3520,22.85,68.46,12.46,19,0,0
2765,22.25,91,9.25,18.35,0,1
1607,21.08,96.25,7.96,17.08,0,1
2566,21.53,75.79,22.5,18.07,0,1
1495,18.62,54.92,11.21,15.31,1,0
2792,19.03,64.38,6.63,15.38,0,1
3068,19.25,68.17,4.58,15.41,0,0
3071,22.79,69.83,14,18.83,0,0
3867,24.51,74.3,9.52,20.64,0,1
2914,22.57,83.08,17.29,18.79,0,1
3613,15.56,61.33,18.17,13.33,0,1
3727,15.28,52.46,14.75,12.81,0,1
3940,16.57,62.58,6.75,12.88,0,1
3614,15.53,61.29,6.42,12.27,0,0
3485,17.46,77.58,5.63,13.56,0,0
3811,19.7,82.71,4.17,15.82,0,1
2594,22.82,94.96,15.58,18.96,0,1
705,20.01,97.04,17.83,16.81,0,1
3322,12.85,58,16.08,10.9,0,1
3620,15.88,69.58,5.54,11.92,0,1
3190,13.32,50.75,15.63,11.28,0,0
2743,12.66,49,4.46,9.05,0,0
3310,13.51,67.08,4.25,9.77,0,1
3523,15.06,59,9.42,11.58,0,1
3740,16.92,66.38,4.08,13.02,0,1
3709,20.61,63.42,17.96,17.32,0,1
3577,17.99,50.04,17.46,15.38,0,1
2739,12.47,56.08,16.29,10.59,0,0
2431,12.28,58.63,11.38,9.77,0,0
3403,14.05,63.75,11.58,11.34,0,1
3750,19.82,59.54,4.13,15.82,0,1
2660,21.4,85.83,14.83,17.56,0,1
3068,21.31,75.75,3.17,17.36,0,1
2209,18.88,68.63,18.37,15.31,0,1
1011,14.96,54.25,12.75,12.4,0,0
754,14,68.13,10.39,11.27,0,0
1317,15.78,50.7,16.04,13.19,1,0
1162,16.38,76.25,12.63,13.33,0,1
2302,14,50.39,19.7,12.26,0,1
2423,13.19,57.42,8,10.18,0,1
2999,15.94,63.67,9,12.78,0,1
2485,20.71,61.58,14.75,16.81,0,0
2294,18.78,69.25,12.88,15.17,0,0
1951,12.62,38.13,22.09,11.19,1,0
2236,6.31,44.13,24.5,6.15,0,1
2368,5.97,41.46,12.37,4.41,0,1
3272,13.92,52.42,8.71,10.9,0,1
4098,17.01,54.21,11.25,13.7,0,1
4521,19.54,53.17,11.71,16.13,0,0
3425,17.01,46.5,12.83,13.84,0,0
2376,12.37,70.17,6.63,9.19,0,1
3598,15.94,64.65,12.57,12.66,0,1
2177,14.14,84.75,8.79,11.24,0,1
4097,19.1,80.29,12.12,15.68,0,1
3214,12.47,50.75,25.33,11.24,0,1
2493,9.15,45.75,12.54,7.38,0,0
2311,8.08,41.92,16.83,6.83,0,0
2298,9.53,52.25,15.5,7.79,1,0
2935,18.21,71.61,23.39,15.29,0,1
3376,13.76,44.33,27.83,12.44,0,1
3292,9.5,49.75,14.75,7.79,0,1
3163,11.05,45,13.58,8.92,0,1
1301,8.74,83.13,14.92,7.11,0,0
1977,8.11,79.63,13.38,6.66,0,0
2432,12.15,91.13,7.42,8.95,0,1
4339,17.46,83.58,8.29,14.04,0,1
4270,14.74,64.38,10.79,12.06,0,1
4075,17.8,76.96,4.92,14.01,0,1
3456,20.77,74.13,22.96,17.43,0,1
4023,16.32,54.33,14.13,12.95,0,0
3243,13.64,31.13,16.08,11.58,0,0
3624,13.13,40.08,14.46,11.04,0,1
4509,19.07,41.67,17.54,15.99,0,1
4579,23.33,50.79,12.67,19.24,0,1
3761,19.95,67.29,12.54,16.37,0,1
4151,15.47,52.67,11.96,12.85,0,1
2832,13.64,77.96,8.17,10.83,0,0
2947,13.23,68.79,11.79,10.9,0,0
3784,14.82,62.22,10.3,11.59,0,1
4375,18.06,49.63,9.87,14.52,0,1
2802,13.32,72.29,8.96,10.52,0,1
3830,13.1,56.21,13,10.87,0,1
3831,14.68,54,7.83,11.51,0,1
2169,10.54,73.13,19.42,9.19,0,0
1529,5.08,46.46,27.42,5.23,0,0
3422,11.4,41.13,11.21,9.12,0,1
3922,16.7,50.88,9.46,13.09,0,1
4169,17.58,53.13,12.17,14.28,0,1
3005,16.51,75.29,6.13,12.98,0,1
4154,17.58,63.46,13.79,14.08,0,1
4318,17.77,53.46,12.79,14.21,0,0
2689,13.29,51.58,16.96,11.48,0,0
3129,13.67,50.78,15.35,11.48,1,0
3777,14.76,59.43,13.78,11.8,0,1
4773,19.63,56.79,15.71,16.23,0,1
5062,22.22,55.46,12.79,18.62,0,1
3487,20.55,73.75,15.92,16.71,0,1
2732,12.78,39.58,28.25,11.92,0,0
3389,13.42,41,13.75,11.45,0,0
4322,17.9,49.08,17.96,15.03,0,1
4363,17.68,39.58,12.96,14.73,0,1
1834,17.42,80.48,12,14.12,0,1
4990,23.77,61.54,15.21,19.92,0,1
3194,17.99,65.71,9.71,14.49,0,1
4066,20.67,62.13,10.79,16.98,0,0
3423,15.15,40.33,22.42,13.36,0,0
3333,12.06,50.63,15.33,9.98,0,1
3956,12.75,45.67,13.46,10.59,0,1
4916,19.26,51.33,23.17,16.57,0,1
5382,26.23,56.75,29.58,21.63,0,1
4569,19.85,40.71,27.79,16.84,0,1
4118,13.89,35.04,15.13,11.79,0,0
4911,17.98,47.7,14.91,14.83,0,0
5298,22.98,48.92,13.92,19.13,0,1
5847,27.15,61.75,15.88,23.17,0,1
6312,27.43,50.71,7.71,23.47,0,1
6192,26.64,57.96,10.04,22.86,0,1
4378,21.81,84.21,7.58,17.87,0,1
7836,25.25,75.58,7.42,21.08,0,0
5892,23.2,81,8.5,19.37,0,0
6153,26.64,72.88,10.88,22.35,0,1
6093,26.93,80.79,8.13,22.99,0,1
6230,25.66,82.13,6,21.8,0,1
6871,26.58,83.13,7.88,22.72,0,1
8362,28.5,69.42,7.79,24.67,0,1
3372,24.34,88.54,12.92,20.6,0,0
4996,21.87,88.08,14.79,17.94,0,0
5558,21.94,47.79,25.92,18.28,0,1
5102,15.78,29,12.54,13.26,0,1
5698,23.55,48.13,19.54,19.85,0,1
6133,24.12,43.92,21.42,20.26,0,1
5459,18.78,58.08,9.25,15.17,0,1
6235,21.09,73.83,16.79,17.39,0,0
6041,20.86,67.63,11.54,17.46,0,0
5936,21.38,50.43,20.91,17.79,0,1
6772,23.07,39.67,6.71,19.13,0,1
6436,26.67,46.96,12.13,22.21,0,1
6457,21.56,37.42,14.71,17.84,0,1
6460,19.54,37.71,20.13,16.54,0,1
6857,21.31,25.42,18.42,17.94,0,0
5169,24.62,27.58,15.58,20.5,0,0
5585,23.83,31.75,24,20.06,0,1
5918,21.81,43.5,16.71,18.31,0,1
4862,16.86,46.96,19.78,14.3,0,1
5409,19.38,46.63,19.46,16.3,0,1
6398,21.59,40.83,10.42,18.14,0,1
7460,24.4,50.29,12.79,20.3,0,0
7132,28.69,50.79,15.08,24.87,0,0
6370,30.75,56.17,19.08,27.23,1,0
6691,29.92,39.04,18.33,24.94,0,1
4367,22.85,56.92,11.25,19,0,1
6565,24.65,61.25,4.42,20.43,0,1
7290,25.79,69.46,10.04,21.59,0,1
6624,27.15,68.29,19,23.37,0,0
1027,19.48,83.54,23.08,16.26,0,0
3214,15.06,76.67,20.33,13.19,0,1
5633,20.26,45.42,16.71,16.95,0,1
6196,23.52,42.79,7.96,19.54,0,1
5026,24.18,75.67,11.83,20.43,0,1
6233,22.63,40.08,23.29,18.76,0,1
4220,18.88,48.96,8.71,15.44,0,0
6304,22.51,58.71,7.83,18.79,0,0
5572,22.88,57,11.5,19.03,0,1
5740,28.85,65.96,10.46,25.15,0,1
6169,26.89,79.71,9.25,23.13,0,1
6421,26.86,76.83,8.96,22.96,0,1
6296,29.55,73.54,10.92,25.73,0,1
6883,29.23,75.67,10.25,25.49,0,0
6359,27.34,74,10.04,23.06,0,0
6273,26.36,66.42,15.46,22.04,0,1
5728,27.87,68.58,19.83,23.85,0,1
4717,27.65,74.42,14.5,23.58,0,1
6572,24.59,55.21,21.04,20.74,0,1
7030,26.04,36.04,15.87,21.87,0,1
7429,27.24,48.04,8.25,23.13,0,0
6118,29.26,57.63,15.08,25.11,0,0
2843,27.5,78.96,14.25,23.51,0,1
5115,28.82,79.46,9.88,25.08,0,1
7424,29.8,69.79,8.21,26.1,0,1
7384,28.63,52,15.37,24.33,0,1
7639,27.56,52.33,9.17,23.13,0,1
8294,28.35,45.63,5.63,24.6,0,0
7129,29.2,53.04,17.04,25.45,0,0
4359,28.28,81.13,15.62,24.53,0,1
6073,29.04,76.58,7.92,25.22,0,1
5260,29.23,77.46,6.83,25.49,0,1
6770,30.34,71.67,11.58,26.86,0,1
6734,31.38,74.71,9.42,27.88,0,1
6536,32.13,73.25,13.33,28.39,0,0
6591,32.07,69.71,14.42,28.29,0,0
6043,33.97,67.63,13.17,29.21,1,0
5743,33.65,68.46,19.79,29.62,0,1
6855,30.56,67,9,26.92,0,1
7338,31.57,49.29,13.08,27.88,0,1
4127,30.4,75.54,15.92,26.82,0,1
8120,28.31,54.92,12.5,23.92,0,0
7641,28.76,49.33,12.33,24.7,0,0
6998,28.91,48.71,19.08,24.5,0,1
7001,26.29,61.33,14.04,22.17,0,1
7055,27.11,61.13,5.17,22.72,0,1
7494,28.47,56.71,10.54,24.7,0,1
7736,29.89,46.79,11.75,26.62,0,1
7498,32.42,43.71,9.67,29.14,0,0
6598,33.18,53.83,8.96,29.79,0,0
6664,32.99,58.79,13.92,29.55,0,1
4972,29.89,83.33,14.37,26.79,0,1
7421,30.56,58.21,23,26.89,0,1
7363,31.22,56.96,17,26.58,0,1
7665,29.99,58.96,11.83,26.21,0,1
7702,29.74,50.42,11.17,25.9,0,0
6978,28.6,59.88,9.71,24.29,0,0
5099,27.24,77.79,11.71,23.3,0,1
6825,32.73,69,9.92,28.22,0,1
6211,36.05,59.21,7.63,32.08,0,1
5905,37.63,56.79,7.96,33.04,0,1
5823,36.21,57.38,12.25,31.88,0,1
7458,32.64,53.46,12.04,30,0,0
6891,33.71,47.92,9.75,30.48,0,0
6779,32.7,50.42,20.13,29.35,0,1
7442,29.74,37.33,23.29,25.86,0,1
7335,32.04,36,18.21,28.6,0,1
6879,33.78,42.25,11.5,30.72,0,1
5463,39.33,48.88,11.08,34.2,0,1
5687,34.38,60.13,10.79,31.37,0,0
5531,37.53,51.88,11.29,33.45,0,0
6227,35.1,44.71,13.08,32.05,0,1
6660,35.13,49.21,8.46,32.01,0,1
7403,36.62,53.88,9.04,32.36,1,0
6241,38.07,45.79,13,33.93,0,1
6207,37.63,45.08,9.79,33.96,0,1
4840,40.25,49.21,10.96,35.33,0,0
4672,39.52,57.38,8.42,33.72,0,0
6569,32.7,68.33,12.13,29.14,0,1
6290,33.24,66.75,10.17,29.55,0,1
7264,32.51,63.33,10.17,29.38,0,1
7446,32.73,52.96,9.83,29.35,0,1
7499,33.4,48.58,5.42,30,0,1
6969,33.3,69.92,9.63,28.84,0,0
6031,35.26,71.79,11.17,30.58,0,0
6830,36.21,64.5,11,31.3,0,1
6786,37.78,50.58,7.67,33.55,0,1
5713,37.28,57.71,9.21,32.53,0,1
6591,35.73,60.04,11.08,31.57,0,1
5870,30.65,84.42,14,27.3,0,1
4459,27.5,86.54,14.29,24.43,0,0
7410,31.16,76.25,6.29,27.37,0,0
6966,34.5,69.42,9.29,30.41,0,1
7592,35.32,65.5,14.17,30.78,0,1
8173,32.7,45,11.04,29.69,0,1
6861,36.96,59.67,19.08,31.84,0,1
6904,36.71,59.46,10.25,32.05,0,1
6685,34.88,61.33,10.54,30.99,0,0
6597,33.4,62.38,11.42,29.59,0,0
7105,34.25,66.88,10.29,29.96,0,1
7216,33.14,70.42,11.08,29.25,0,1
7580,33.37,67.75,9.46,29.42,0,1
7261,35.35,65.96,8.67,30.85,0,1
7175,36.14,64.25,14.46,31.4,0,1
6824,37.56,61.33,17.25,32.53,0,0
5464,36.55,65.25,19.46,31.54,0,0
7013,35.51,65.42,8.67,30.85,0,1
7273,34.88,70.38,7.83,30.17,0,1
7534,35.39,67.29,7.42,30.75,0,1
7286,34.98,62.04,10.46,30.99,0,1
5786,33.4,71.58,16,29.35,0,1
6299,31.91,73.29,13.83,28.39,0,0
6544,32.23,53.04,8.21,28.73,0,0
6883,33.11,54.54,9.13,29.55,0,1
6784,33.84,68.67,11.33,29.79,0,1
7347,32.7,61.96,11.37,28.97,0,1
7605,32.73,51.92,9.5,29.49,0,1
7148,12.12,57.08,15.5,29.66,0,1
7865,30.9,60.33,11.92,27.81,0,0
4549,30.18,71.17,5.79,26.07,0,0
6530,29.8,73.42,8.71,26.07,0,1
7006,30.05,67.38,4.88,26.62,0,1
7375,31.09,67.71,4.71,27.37,0,1
7765,31.85,63.58,5.67,28.53,0,1
7582,32.36,61.5,4.83,28.8,0,1
6053,30.93,71.29,16.38,27.13,0,0
5255,29.8,84.58,15.33,26.79,0,0
6917,32.73,73.04,8.63,28.84,0,1
7040,33.3,62,12.79,29.86,0,1
7697,31.79,55.21,7.54,28.09,0,1
7713,32.64,59.04,5.17,28.97,0,1
7350,34.47,58.75,11.29,31.33,0,1
6140,35.13,63.83,7.58,30.89,0,0
5810,32.45,81.5,4.29,28.56,0,0
6034,33.08,79.08,10.13,29.01,1,0
6864,34.34,75.5,15.83,29.76,0,1
