LIMIT_BAL,GENDER,MARRIAGE,AGE,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,DEFAULT
30000,2,1,27,30734,28092,29112,29555,28536,29252,0,1800,1200,1083,1200,1250,NO
70000,1,1,28,275,400,2,2,2,2,10400,10002,0,0,0,0,NO
80000,2,1,70,20255,18885,21529,29236,10662,2408,6000,5002,10662,2,2408,11662,NO
190000,1,1,49,186797,191210,195681,190545,191478,187875,9000,9000,0,7033,7348,10000,NO
200000,2,1,31,187610,188072,166668,159513,150852,151996,10000,17014,15019,15000,15000,10000,NO
200000,2,1,22,188072,166668,159513,150852,151996,147690,17014,15019,15000,15000,10000,10000,NO
240000,1,2,64,508581,471796,468202,442401,419209,425061,17389,80167,15167,16000,13133,196084,NO
240000,1,2,25,542827,508581,471796,468202,442401,419209,20225,17389,80167,15167,16000,13133,NO
500000,1,2,43,4410,2662,2533,1821,2498,3622,2681,2547,1826,2505,3630,3099,NO
580000,1,1,47,453985,470915,471175,486776,503914,527711,25704,9464,25065,25703,33000,215,NO
60000,2,1,46,47350,51230,54784,58232,61670,65120,5000,5000,5000,5000,5000,1000,NO
80000,1,2,52,58592,52465,16937,15159,12195,0,2912,3000,3000,3000,0,0,NO
100000,2,1,51,100036,100041,100402,97141,97143,97532,4702,4617,3600,3865,3850,3705,NO
140000,2,1,59,0,0,0,0,825,675,0,0,0,825,0,23715,NO
150000,1,2,70,131027,135519,147692,149166,151934,137885,6600,16200,5200,5110,0,5300,NO
150000,1,1,39,190790,167666,145132,148054,146358,145253,4942,4875,4085,4113,4074,4820,NO
200000,1,1,24,143994,102211,54762,55858,56338,57360,4767,2573,2604,1997,2228,2094,NO
210000,2,1,47,132797,135581,138644,141679,92170,93998,4921,5317,5631,3345,3360,3483,NO
210000,1,2,34,209396,136809,139411,138991,140886,143721,6510,6450,5103,5500,5307,5011,NO
230000,2,1,67,0,5580,500,1614,0,2800,5580,500,1614,0,2800,0,NO
300000,2,1,38,0,200,200,22935,16858,0,200,0,22935,0,0,0,NO
360000,1,1,40,47615,74976,4040,151858,48580,1451,75351,4064,152618,48822,1451,171944,NO
370000,1,2,50,258397,236235,204503,201259,157159,152357,9661,9599,8683,6970,56032,6025,NO
400000,1,1,41,258070,77910,61440,44590,12270,0,47000,1500,0,0,0,0,NO
400000,1,1,53,279579,258070,77910,61440,44590,12270,10700,47000,1500,0,0,0,NO
450000,1,1,22,-81,15029,-1318,-9157,-20753,-22680,15110,40,258,9,23,27,NO
480000,1,1,57,3820,4665,5367,21222,9083,84804,4665,5473,21284,9088,84804,6285,NO
500000,2,1,44,3718,1755,2988,11645,13237,303512,1755,2988,11645,13237,303512,0,NO
50000,1,1,55,48341,47465,47942,48418,49530,28085,2068,1545,1171,1658,1321,0,NO
80000,1,1,50,25043,17472,8922,3932,2900,0,1374,1026,3944,3208,0,0,NO
80000,2,1,52,80260,82116,80299,81416,81617,81607,3750,3520,3069,3271,3262,3237,NO
80000,2,1,59,82074,80260,82116,80299,81416,81617,3470,3750,3520,3069,3271,3262,NO
80000,2,2,50,84985,84247,81619,30095,20639,7849,4000,2048,1300,1700,401,180,NO
80000,2,2,48,85882,84985,84247,81619,30095,20639,3900,4000,2048,1300,1700,401,NO
120000,2,1,48,58436,60202,61042,61253,57695,2530,2740,2407,1421,0,0,840,NO
150000,2,1,63,0,0,500,0,0,0,0,500,0,0,0,0,NO
200000,1,1,41,1269,3784,5755,2255,8014,3635,3789,5860,2282,8042,3640,4850,NO
200000,1,1,36,183653,167157,144218,137975,132600,121028,7130,6611,4282,4367,4079,3664,NO
220000,1,1,32,1193,1525,3067,1771,2326,390,1525,3470,1771,2333,390,2361,NO
240000,1,3,29,4110,5000,0,1000,0,167747,1000,0,1000,0,167747,4810,NO
240000,1,1,23,146696,149707,151780,152373,145763,148276,6930,6000,6000,6000,5500,6000,NO
260000,2,1,38,225028,188891,174617,178214,182251,186144,8165,6500,6500,7000,7000,7500,NO
270000,2,1,36,0,2521,5145,8422,6374,1566,2521,5184,8422,6374,0,1429,NO
270000,2,1,36,157,0,2521,5145,8422,6374,0,2521,5184,8422,6374,0,NO
330000,1,1,43,0,2500,0,0,0,0,2500,0,0,0,0,0,NO
330000,1,2,68,20727,197441,184973,172124,158958,144889,194000,6710,6223,5671,5274,4657,NO
350000,1,1,34,188,188,187,698,188,183,188,187,700,188,183,1305,NO
50000,1,1,57,28433,27682,28403,27648,28202,30008,0,1459,0,1013,2264,0,NO
50000,1,2,28,46351,20055,18725,17848,14610,11314,1377,1165,522,1000,485,426,NO
50000,1,1,37,48369,44762,17403,17907,19000,18055,2384,5461,2872,1093,19055,2239,NO
60000,2,3,29,15463,14046,218,12716,10686,10400,1410,218,12723,483,600,9132,NO
70000,1,1,25,62188,62848,56718,47191,45959,47635,3000,2200,1700,1700,2441,2000,NO
110000,2,1,58,83050,85550,76793,13062,12609,12638,4000,3275,3028,3000,2000,2000,NO
150000,1,1,63,56852,58031,59202,60304,61650,0,2688,2730,2680,2850,0,0,NO
150000,2,2,39,157231,153171,148994,80196,74328,66806,3,6103,3220,3028,5052,15000,NO
170000,1,1,32,1922,1788,1,2739,1158,685,1788,9,3897,0,685,0,NO
180000,2,1,32,18084,1703,3681,21325,2228,856,1703,3697,21330,2228,1531,16934,NO
180000,2,1,24,120070,123963,125022,129079,130109,133714,5876,4525,6123,4644,5688,5699,NO
190000,1,1,34,65666,67379,72878,70731,71285,72403,3800,7600,0,2700,2800,2800,NO
200000,2,1,46,0,0,0,0,67052,0,0,0,0,67052,0,0,NO
280000,2,1,48,22715,37818,35497,30164,7164,7164,15506,17,3364,0,0,0,NO
300000,1,2,48,1068,1168,1005,1372,1610,1355,1168,1005,1372,1610,1355,1426,NO
310000,1,1,26,1920,0,10124,10130,7958,0,0,10124,6,7958,0,0,NO
350000,2,1,34,30726,27639,28890,31090,32265,33737,3000,2000,3000,2000,2000,2000,NO
360000,2,1,28,0,4900,0,0,5640,0,4900,0,0,5640,0,0,NO
390000,1,1,51,38383,38134,38679,39689,40472,41320,1608,1647,1657,1440,1496,1518,NO
440000,2,1,56,133996,136606,136771,141131,147251,150332,6319,5000,6625,10000,5443,5501,NO
440000,1,1,38,427038,431540,413605,355274,361170,338732,20000,18000,18003,15000,13000,17000,NO
680000,1,2,68,568532,577681,577015,565669,524315,476846,22000,23000,21300,20000,17500,17000,NO
20000,2,1,67,858,2310,1716,929,978,0,1716,0,0,978,0,0,NO
20000,1,2,63,1650,1650,1650,1650,1650,1650,0,0,0,0,0,0,NO
30000,2,1,34,8866,5884,11146,7779,8092,1565,5884,11146,0,8092,1565,2620,NO
50000,1,1,34,264,528,264,264,264,264,528,0,264,264,264,264,NO
50000,2,2,63,51432,50316,50866,48194,47233,50224,0,3600,0,3000,5001,2000,NO
60000,2,1,41,56285,56894,57006,28198,23888,24083,5000,2156,3017,2009,3000,3000,NO
60000,2,1,68,59471,59021,49580,38140,29843,27719,2400,1940,1477,1025,1006,1261,NO
100000,1,1,43,61228,59936,59038,52735,46667,49009,2810,2954,2307,1756,3181,0,NO
110000,1,2,52,49992,48918,49890,46884,47350,43169,0,2164,1730,1788,1538,1607,NO
120000,2,1,28,49394,51261,51333,51174,44680,43760,3000,2000,2000,2000,2000,2000,NO
160000,2,1,37,-2,-2,2647,1210,0,1886,0,2649,1210,0,1886,491,NO
170000,2,1,53,54957,56462,58023,59560,61442,63422,3000,2500,2500,3000,3000,2651,NO
180000,1,1,27,47932,48922,50035,50749,51903,52991,2087,2200,1846,2000,1923,2000,NO
180000,1,1,64,157932,156847,130572,120464,109129,112273,7000,5500,4218,4500,5000,4000,NO
200000,1,1,27,316,316,316,316,316,316,316,316,316,316,316,316,NO
220000,1,1,43,1293,494,1379,-1,272,1628,496,1385,0,273,1636,531,NO
260000,1,1,59,3382,2403,1161,772,383,1661,2519,1201,1,1,1668,2507,NO
260000,1,1,32,261326,264126,244115,248831,263528,258973,9166,9001,9061,19155,1,9858,NO
280000,1,1,66,0,0,0,0,0,0,0,0,0,0,0,0,NO
280000,2,1,48,4108,2219,4734,0,1420,2705,2219,4734,0,1420,2705,3275,NO
400000,1,2,45,52332,42898,26096,396988,348029,173170,42898,26099,397092,7864,3785,0,NO
480000,1,1,62,422069,431342,479432,487066,471145,469961,16078,55693,17000,0,18000,24200,NO
590000,1,1,67,630458,646770,693131,324522,358774,369685,28000,61115,325000,40000,20000,51000,NO
10000,1,1,65,2778,1939,2038,1938,0,0,1939,2040,1938,0,0,0,NO
20000,1,2,31,16303,17314,18343,19331,18541,18929,1286,1315,1303,663,686,744,NO
20000,1,1,29,17072,16505,17242,16668,17972,18316,0,1300,0,1586,780,800,NO
20000,1,1,36,17539,18563,17982,18659,19035,20236,1612,0,1289,665,1491,0,NO
20000,1,1,27,17607,18711,9540,10540,11540,0,1500,1000,1000,1000,0,0,NO
30000,1,1,41,11188,2990,0,0,0,0,1000,0,0,0,0,0,NO
50000,1,1,65,51350,50350,49289,49058,47512,48930,50908,1800,1800,1800,2200,1774,NO
60000,2,2,42,57918,59878,51466,50506,56373,55341,3028,2006,1862,6729,0,2911,NO
70000,1,2,40,24635,23020,22496,22070,22101,20724,1100,1703,1000,1800,0,900,NO
70000,2,1,68,57271,56269,56333,29288,29524,29764,2857,2702,1500,1100,1100,1150,NO
70000,2,1,44,69926,69474,60975,38546,37843,38632,4000,3000,1341,1359,1403,1352,NO
70000,1,2,60,112202,103834,95609,86494,79359,74937,0,0,0,0,2150,2511,NO
80000,1,1,44,1262,1642,1975,672,5112,3932,1642,1975,672,5112,3932,20289,NO
80000,2,1,23,36088,37257,36288,37630,26424,27342,2100,2100,2400,1100,1500,1500,NO
90000,1,1,40,86200,81995,16985,12985,285,-4715,2500,1000,1000,500,0,31000,NO
90000,1,1,27,98784,52485,46978,47512,48111,48761,1050,47003,1680,1734,1828,1737,NO
110000,2,1,67,33536,30155,26054,22918,23216,14371,3000,2000,3000,6000,2340,111,NO
110000,2,1,52,65932,66740,68170,69634,73981,72676,2500,2500,2600,5519,0,3000,NO
140000,2,1,49,142250,142172,141738,141524,141845,142150,5200,5100,5000,5200,5100,5200,NO
140000,1,2,31,143107,138581,123491,118886,117059,117405,4839,5000,5000,7500,7000,5029,NO
150000,1,1,58,0,0,0,0,0,0,0,0,0,0,0,0,NO
160000,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,NO
160000,1,1,56,37615,38707,40460,41149,-1,-1,1700,2400,2000,0,0,0,NO
170000,1,1,35,12980,12724,11888,10802,1477,1302,1550,1000,216,1477,1302,1302,NO
230000,2,1,50,167635,170085,172204,173045,176163,179625,6474,7726,5601,6100,6427,6000,NO
240000,1,1,57,1901,3855,3802,1901,2165,1965,3855,1901,0,2165,0,108,NO
250000,1,1,42,38924,38468,35930,40106,38214,28494,5000,5000,5000,3000,2000,10000,NO
260000,1,1,35,390,390,390,390,390,390,390,780,390,390,390,390,NO
300000,2,1,26,0,0,0,0,0,0,0,0,0,0,0,0,NO
310000,2,1,61,113529,116101,119953,119583,120837,99114,5000,6000,5005,5000,4000,3000,NO
310000,2,1,61,327289,323125,308878,314524,308637,283200,12500,2100,22053,10654,0,10450,NO
340000,2,1,46,509365,522309,534137,466565,466774,471573,20309,20137,16565,16774,21573,21000,NO
350000,1,1,38,83393,10237,14580,61024,86809,177816,10237,14580,61024,86809,177816,82610,NO
360000,1,1,46,5875,7279,6894,7143,1787,19526,7289,6918,7148,1792,19541,3689,NO
360000,1,1,40,234825,242378,235716,171573,95455,91687,15000,12000,10000,10000,0,10000,NO
440000,1,1,68,14721,5049,649,1108,150,1075,4909,499,959,0,925,1392,NO
500000,1,1,25,0,0,0,0,1981,1700,0,0,0,1981,1700,13969,NO
20000,1,1,32,1480,390,780,0,390,390,0,780,0,2000,1170,1320,NO
20000,1,2,55,1930,1742,-780,1170,780,0,0,0,1950,0,0,1320,NO
20000,1,2,58,18828,10400,0,0,0,0,1400,0,0,0,0,0,NO
30000,2,3,56,24453,23212,23964,24434,21340,5624,0,1522,1200,428,112,0,NO
50000,2,1,63,2020,0,0,0,0,0,0,0,0,0,0,202,NO
50000,2,1,26,5016,6065,6985,6354,4908,3724,1135,1055,656,0,133,50,NO
50000,2,1,58,20907,22236,23250,23564,30882,30242,1672,1686,1000,7764,0,1000,NO
50000,2,2,45,36205,38609,42996,43992,43155,44436,3000,5064,2000,0,2000,2000,NO
50000,2,1,37,38158,35961,37417,24663,24655,26088,2220,2943,0,887,2000,716,NO
50000,2,1,60,42200,0,0,0,15883,16617,0,0,0,15883,1000,792,NO
50000,2,1,40,47166,49396,50476,23319,23171,24774,3000,2237,975,1000,2000,1039,NO
60000,2,1,51,28208,29230,30739,30841,28069,27941,1495,2004,2009,1211,2000,1201,NO
70000,1,3,49,8909,9812,9511,10828,11346,11589,1200,0,1482,1000,426,1000,NO
80000,2,1,70,74156,73878,64656,60537,42610,42769,3000,2506,3008,3000,2000,3000,NO
90000,1,1,58,46441,46896,47463,45812,41367,40278,1762,1875,1500,1400,1500,1258,NO
140000,1,2,30,131978,135760,127508,92126,69050,73537,6000,3600,2500,5000,5000,5000,NO
160000,1,1,66,390,390,390,780,390,390,390,390,780,0,390,390,NO
170000,2,1,36,0,0,0,0,200,0,0,0,0,200,0,0,NO
170000,1,1,26,167535,166521,168824,164597,94094,92177,6000,7000,5000,4000,3500,3600,NO
200000,2,1,30,780,0,780,387,-3,4540,0,780,387,0,4543,1386,NO
230000,2,1,40,1443,1443,1443,1443,1443,1443,1443,1443,1443,1443,1443,1443,NO
230000,1,1,25,1477,3699,2252,4932,2783,7411,3710,2266,7338,2791,7433,4527,NO
260000,2,1,41,-551,16449,-20320,-20320,-20320,-20320,17000,2631,0,0,0,0,NO
270000,1,1,53,15194,16934,18533,8855,3140,5140,2000,2000,2000,1000,2000,2000,NO
280000,2,1,56,162734,146990,149201,152377,155764,148302,7000,6000,5500,5800,5200,6000,NO
290000,1,1,70,281967,288456,296084,218399,200461,204637,10492,12447,8973,6761,6983,5980,NO
300000,1,1,33,269781,275773,282818,289012,123239,123812,10001,11001,12001,10001,5001,5001,NO
330000,1,1,35,14897,19364,906,2342,1702,882,19364,906,2342,1702,882,1940,NO
460000,1,1,22,0,8602,0,880,1018,99,8602,0,880,1018,99,1922,NO
460000,1,1,65,10643,1547,1670,6425,4897,8401,1600,1800,6500,5000,5000,4500,NO
470000,2,1,24,228,5215,3161,762,3637,16847,5241,3176,766,3673,16906,1437,NO
480000,1,1,23,91524,94123,95336,97645,92109,79795,5000,4000,7172,4000,2500,3000,NO
500000,1,1,59,11430,29015,25364,19550,21096,23491,29205,25428,9575,11116,15063,217,NO
510000,2,1,47,181733,192903,181801,178179,223100,216225,17000,0,6508,50000,7000,6000,NO
510000,2,1,33,187070,181733,192903,181801,178179,223100,8500,17000,0,6508,50000,7000,NO
20000,1,1,52,8570,10651,9944,10142,9591,10400,2620,0,500,380,1000,0,NO
20000,1,1,33,17495,16917,17922,18201,18566,19284,0,1287,2000,648,1000,1000,NO
30000,2,1,51,0,0,0,0,0,0,0,0,0,0,0,0,NO
30000,2,3,60,2365,-581,-581,-2054,1473,14510,0,0,0,5000,14510,0,NO
30000,2,1,67,11575,12351,13505,12677,12995,13443,1600,2000,0,1000,1000,1000,NO
30000,2,1,50,19282,20364,21638,25392,24428,26410,1700,2617,5710,1000,3342,0,NO
30000,1,2,65,23575,24582,25711,26614,26948,14648,1398,1527,1430,764,530,655,NO
30000,2,1,29,27331,27171,28491,28091,28664,0,2000,2000,0,573,0,0,NO
40000,2,1,65,14019,15780,18519,21058,8204,9899,2000,3000,3000,6000,2000,2000,NO
50000,2,2,48,27943,31060,31293,29256,29870,30503,3577,1042,0,1080,1515,862,NO
50000,2,2,31,31164,32384,27553,28101,28690,28467,1756,1445,993,1029,1054,977,NO
50000,1,1,60,46344,41162,25245,25955,26470,27025,1389,1722,1432,947,981,985,NO
50000,1,2,41,46362,47393,48631,49143,27709,27549,1800,2000,1500,1000,1200,1100,NO
50000,1,1,38,50546,50854,50024,20281,20285,20066,2112,1712,705,759,748,487,NO
50000,1,2,48,51078,50649,36384,32913,9397,9755,2013,2505,2100,500,500,500,NO
50000,1,1,29,52198,50062,50284,50740,30175,30407,0,2310,1766,1201,1232,1199,NO
60000,1,1,69,390,390,2840,390,390,769,390,2840,390,390,769,390,NO
60000,2,1,46,57974,57637,56594,57097,56854,58325,2810,2648,2050,2084,2437,1968,NO
60000,2,1,27,69183,68216,66616,65016,63449,62149,0,0,0,0,0,0,NO
70000,2,2,46,10083,11091,12117,13125,13407,13692,1184,1210,1218,500,500,543,NO
70000,1,1,67,69956,70688,68912,70652,50686,47093,2500,3300,3700,2100,2000,2300,NO
80000,2,2,28,577,494,438,387,246,939,500,438,387,246,939,350,NO
80000,2,3,28,30959,15774,9365,6515,6845,5789,1458,1230,250,800,0,300,NO
80000,2,2,25,37298,19025,12720,14169,13828,1664,3000,3000,2030,3000,1000,839,NO
80000,1,1,52,49246,53315,47740,50100,0,0,5000,3300,6267,0,0,0,NO
80000,1,1,42,53315,47740,50100,0,0,0,3300,6267,0,0,0,4189,NO
80000,1,1,68,68085,70604,26890,27450,27634,28216,10000,1500,1000,1100,1041,1500,NO
90000,2,2,45,1933,63201,5322,27878,27243,27799,63201,5322,26400,545,556,1274,NO
100000,2,1,29,0,198,198,324,171,0,198,198,324,171,0,144,NO
100000,2,1,34,2178,4944,4709,2234,2267,2168,7300,0,0,2300,2168,2300,NO
100000,1,1,43,8311,8031,5790,3860,2599,2712,0,0,0,0,2712,0,NO
120000,2,1,43,3956,0,2216,2550,9246,8307,0,2216,2557,9246,8307,10000,NO
160000,2,1,33,16060,1605,4200,2461,0,0,1605,4200,2461,0,0,230,NO
160000,1,1,31,18056,19385,20093,20643,20920,21336,1626,1334,884,758,763,942,NO
200000,2,1,46,396,396,461,396,546,396,396,461,396,546,396,396,NO
200000,1,2,28,12716,12453,21910,12474,17785,12500,12453,21957,12474,17811,12500,0,NO
200000,1,1,61,135775,136946,142735,149574,151108,142190,4916,8011,10800,5411,0,4959,NO
230000,1,1,65,131550,132114,133281,123958,124474,120570,6057,4845,4291,4115,4274,4054,NO
260000,2,1,64,-1100,-1100,21400,0,969,869,0,22500,0,969,1000,0,NO
260000,2,1,54,-20,-20,2000,0,0,0,0,2020,0,0,0,0,NO
280000,1,1,67,792,0,192,396,0,396,0,192,996,0,396,396,NO
290000,2,1,32,0,0,0,0,0,0,0,0,0,0,0,0,NO
420000,1,1,25,195379,198147,200431,200252,202789,205082,8003,7529,10005,8015,10018,7715,NO
480000,2,1,56,13406,7233,96977,67030,24334,28699,13736,96989,4,241,15819,28966,NO
10000,1,1,23,6827,7849,8704,8877,9063,9318,1290,1145,318,329,406,186,NO
20000,1,1,53,-1213,30322,20033,19871,15410,18969,52082,15800,2000,20085,39070,25000,NO
20000,1,1,34,2946,0,1473,240,390,1320,0,1473,240,540,1320,0,NO
20000,1,2,51,5119,5546,6302,7193,8075,8938,1500,1000,1000,1000,1000,1000,NO
20000,1,2,62,7451,5119,5546,6302,7193,8075,2000,1500,1000,1000,1000,1000,NO
30000,1,1,34,390,390,390,1389,3684,2744,390,390,1389,3684,0,4794,NO
30000,1,1,62,20044,21246,22115,22158,22610,0,1531,1400,443,452,0,0,NO
30000,2,1,50,27620,27921,28585,29007,29195,21335,1449,1503,1315,893,1000,513,NO
30000,2,1,37,28170,32597,32289,31276,30428,29371,4946,2000,1220,1232,1052,1500,NO
30000,1,2,40,28372,29152,29643,29593,27952,0,2010,1500,788,559,0,0,NO
30000,1,1,24,29272,29096,22088,21624,21833,18174,1404,1268,694,866,695,838,NO
30000,2,1,65,30419,28221,29016,7946,8114,8382,1481,1276,1132,300,400,370,NO
40000,2,1,42,14769,15271,15383,14548,16274,15650,1573,1512,504,2770,613,14,NO
50000,2,1,38,25775,0,0,0,0,0,0,0,0,0,0,0,NO
50000,2,1,52,37201,27863,27712,28433,21449,20688,1503,1352,1073,1077,900,1000,NO
50000,2,1,66,44977,43981,44996,45736,46748,47816,0,2045,1785,1900,2000,2210,NO
50000,1,1,66,47069,48479,49520,18990,19539,19791,2169,2210,680,855,726,687,NO
50000,2,1,56,47822,36488,36811,13234,11543,10751,2009,2000,556,378,619,5000,NO
50000,1,1,47,48504,46768,47976,39703,19777,19162,0,2100,2000,1000,1000,1000,NO
50000,1,3,46,50739,50142,18894,18512,16853,18401,1500,1500,1000,1000,2000,1000,NO
50000,2,2,66,50761,50185,59509,31495,30552,29556,2500,2600,6000,1300,0,1300,NO
50000,1,1,64,51400,0,0,0,0,0,0,0,0,0,0,0,NO
60000,2,1,56,694,694,694,694,694,28948,694,694,694,694,28948,1044,NO
60000,2,1,52,54506,56998,59111,59595,58079,56892,4000,3601,2000,0,0,0,NO
60000,2,1,37,56998,59111,59595,58079,56892,55826,3601,2000,0,0,0,4000,NO
60000,2,1,49,59174,60922,61800,0,51301,52327,3298,3000,0,51301,2029,2083,NO
70000,2,1,61,67088,64376,62004,62985,69380,70498,2244,2301,2254,7600,2500,2422,NO
80000,1,1,28,21723,21097,22140,18349,3540,0,0,2000,0,3540,0,0,NO
80000,1,1,60,71720,73024,74297,33412,30070,30254,3234,3075,1126,1091,1074,1028,NO
80000,2,1,37,75662,70073,53169,50875,50372,49470,3212,2106,2000,1603,1903,2006,NO
80000,1,1,22,78651,80199,82036,82031,81535,81586,3454,3725,3722,3228,3281,3374,NO
100000,2,1,42,0,7240,7702,1550,12079,35920,7240,1000,1558,12079,35920,0,NO
110000,2,2,70,89595,126322,59115,57149,54180,51796,2437,3804,1857,1840,1832,1648,NO
110000,2,1,60,100800,40387,37689,37750,33281,30968,1914,2000,2000,1300,1500,5000,NO
120000,1,1,62,68646,68784,49933,51400,0,0,2144,1933,2400,0,0,0,NO
130000,2,1,24,390,2356,1373,390,2746,390,2356,1373,390,2746,0,1570,NO
140000,1,1,36,2859,3447,0,2061,0,3035,3447,0,2061,0,3035,2302,NO
140000,2,2,25,63654,62042,63445,63729,63751,65421,0,3000,2000,2000,2000,3000,NO
140000,1,1,38,129684,130838,131910,136810,133090,134415,6193,6200,10000,0,5000,5000,NO
140000,1,3,29,141148,139572,86612,62906,83167,83315,4900,3340,1931,22444,2441,1657,NO
150000,1,1,66,5066,2616,3766,3289,8356,10916,2616,4097,3371,8923,13919,8227,NO
150000,2,1,62,11067,12367,10557,9974,11507,1926,12405,10557,9974,11507,1926,5512,NO
160000,1,1,29,-220,390,170,-220,390,390,1000,170,0,1000,390,390,NO
160000,1,1,50,1443,1443,1443,1443,1443,1443,1443,1443,1443,1443,1443,1443,NO
160000,1,2,37,86249,85764,83764,75088,69753,66574,5000,4214,4014,2500,3000,3000,NO
200000,1,1,50,27119,28081,30299,29516,31378,31914,1700,3000,0,2500,1200,0,NO
200000,2,1,58,92215,94085,96174,98116,99490,101412,4300,4500,4438,3900,3800,3500,NO
200000,2,2,47,180887,166921,155945,109271,36753,78079,10000,30000,7,7000,73000,700,NO
230000,1,2,22,0,0,0,0,1715,0,0,0,0,1715,0,0,NO
240000,2,2,28,230026,239796,231230,196471,190004,161867,20000,12000,7000,8000,6000,6205,NO
240000,2,1,61,233918,235404,236564,241075,146440,132290,8357,10001,10000,10000,5000,20000,NO
260000,1,1,40,1929,-627,4134,792,1309,2557,627,7388,792,1312,2564,804,NO
260000,2,1,34,258885,261183,262546,238614,195149,195771,10000,11000,13067,10003,8000,11488,NO
300000,2,1,67,2500,2500,2500,2500,2500,2500,0,0,0,0,0,0,NO
300000,2,1,60,12982,10114,10195,34010,20854,64741,11138,10217,34039,20854,64741,39441,NO
330000,2,2,42,130797,112383,79505,80589,76180,61693,20000,3500,19000,15000,3000,2139,NO
350000,2,1,51,0,0,0,0,0,42800,0,0,0,0,42800,0,NO
360000,1,1,24,17154,4536,4500,71028,5019,28028,5095,5048,72133,25,28168,18758,NO
420000,1,1,31,24389,21232,24524,21318,21496,19704,1733,10026,1606,2006,707,1037,NO
420000,1,1,29,175795,160687,139704,100178,62967,49259,5300,4976,4899,3074,2023,3000,NO
